time,x,r,x_r,u_r,a_s
1.57,2.63759,0,2.63759,0,-1
1.58,2.61122,0,2.61122,0,-1
1.59,2.5851,0,2.5851,0,-1
1.6,2.55925,0,2.55925,0,-1
1.61,2.53366,0,2.53366,0,-1
1.62,2.50832,0,2.50832,0,-1
1.63,2.48324,0,2.48324,0,-1
1.64,2.44841,0,2.44841,-1,-1
1.65,2.41392,0,2.41392,-1,-1
1.66,2.37979,0,2.37979,-1,-1
1.67,2.34599,0,2.34599,-1,-1
1.68,2.31253,0,2.31253,-1,-1
1.69,2.2794,0,2.2794,-1,-1
1.7,2.24661,0,2.24661,-1,-1
1.71,2.21414,0,2.21414,-1,-1
1.72,2.182,0,2.182,-1,-1
1.73,2.15018,0,2.15018,-1,-1
1.74,2.11868,0,2.11868,-1,-1
1.75,2.07749,0,2.07749,-2,-1
1.76,2.03672,0,2.03672,-2,-1
1.77,1.99635,0,1.99635,-2,-1
1.78,1.95639,0,1.95639,-2,1
1.79,1.91682,0,1.91682,-2,1
1.8,1.87765,0,1.87765,-2,1
1.81,1.83888,0,1.83888,-2,1
1.82,1.80049,0,1.80049,-2,1
1.83,1.76248,0,1.76248,-2,1
1.84,1.72486,0,1.72486,-2,1
1.85,1.68761,0,1.68761,-2,1
1.86,1.66073,0,1.66073,-1,1
1.87,1.63413,0,1.63413,-1,1
1.88,1.60779,0,1.60779,-1,1
1.89,1.58171,0,1.58171,-1,1
1.9,1.55589,0,1.55589,-1,1
1.91,1.53033,0,1.53033,-1,1
1.92,1.50503,0,1.50503,-1,1
1.93,1.47998,0,1.47998,-1,1
1.94,1.45518,0,1.45518,-1,1
1.95,1.43063,0,1.43063,-1,1
1.96,1.40632,0,1.40632,-1,1
1.97,1.39226,0,1.39226,0,1
1.98,1.37834,0,1.37834,0,1
1.99,1.36455,0,1.36455,0,1
2,1.35091,0,1.35091,0,1
2.01,1.3374,0,1.3374,0,1
2.02,1.32402,0,1.32402,0,1
2.03,1.31078,0,1.31078,0,1
2.04,1.29768,0,1.29768,0,1
2.05,1.2847,0,1.2847,0,1
2.06,1.27185,0,1.27185,0,1
2.07,1.25913,0,1.25913,0,1
2.08,1.25654,0,1.25654,1,1
2.09,1.25398,0,1.25398,1,1
2.1,1.25144,0,1.25144,1,1
2.11,1.24892,0,1.24892,1,1
2.12,1.24643,0,1.24643,1,1
2.13,1.24397,0,1.24397,1,1
2.14,1.24153,0,1.24153,1,1
2.15,1.23911,0,1.23911,1,1
2.16,1.23672,0,1.23672,1,1
2.17,1.23436,0,1.23436,1,1
2.18,1.23201,0,1.23201,1,1
2.19,1.23969,0,1.23969,2,1
2.2,1.24729,0,1.24729,2,1
2.21,1.25482,0,1.25482,2,1
2.22,1.26227,0,1.26227,2,1
2.23,1.26965,0,1.26965,2,1
2.24,1.27695,0,1.27695,2,1
2.25,1.28418,0,1.28418,2,1
2.26,1.29134,0,1.29134,2,1
2.27,1.29843,0,1.29843,2,1
2.28,1.30545,0,1.30545,2,1
2.29,1.31239,0,1.31239,2,1
2.3,1.32927,0,1.32927,3,1
2.31,1.34597,0,1.34597,3,1
2.32,1.36251,0,1.36251,3,1
2.33,1.37889,0,1.37889,3,1
2.34,1.3951,0,1.3951,3,1
2.35,1.41115,0,1.41115,3,1
2.36,1.42704,0,1.42704,3,1
2.37,1.44277,0,1.44277,3,1
2.38,1.45834,0,1.45834,3,1
2.39,1.47376,0,1.47376,3,1
2.4,1.48902,0,1.48902,3,1
2.41,1.51413,0,1.51413,4,1
2.42,1.53899,0,1.53899,4,1
2.43,1.5636,0,1.5636,4,1
2.44,1.58796,0,1.58796,4,1
2.45,1.61208,0,1.61208,4,1
2.46,1.63596,0,1.63596,4,1
2.47,1.6596,0,1.6596,4,1
2.48,1.68301,0,1.68301,4,1
2.49,1.70618,0,1.70618,4,1
2.5,1.72911,0,1.72911,4,1
2.51,1.75182,0,1.75182,4,1
2.52,1.7843,0,1.7843,5,1
2.53,1.81646,0,1.81646,5,1
2.54,1.8483,0,1.8483,5,1
2.55,1.87981,0,1.87981,5,1
2.56,1.91102,0,1.91102,5,1
2.57,1.94191,0,1.94191,5,1
2.58,1.97249,0,1.97249,5,1
2.59,2.00276,0,2.00276,5,1
2.6,2.03273,0,2.03273,5,-1
2.61,2.06241,0,2.06241,5,-1
2.62,2.09178,0,2.09178,5,-1
2.63,2.11086,0,2.11086,4,-1
2.64,2.12976,0,2.12976,4,-1
2.65,2.14846,0,2.14846,4,-1
2.66,2.16697,0,2.16697,4,-1
2.67,2.1853,0,2.1853,4,-1
2.68,2.20345,0,2.20345,4,-1
2.69,2.22142,0,2.22142,4,-1
2.7,2.2392,0,2.2392,4,-1
2.71,2.25681,0,2.25681,4,-1
2.72,2.27424,0,2.27424,4,-1
2.73,2.2915,0,2.2915,4,-1
2.74,2.29858,0,2.29858,3,-1
2.75,2.3056,0,2.3056,3,-1
2.76,2.31254,0,2.31254,3,-1
2.77,2.31942,0,2.31942,3,-1
2.78,2.32622,0,2.32622,3,-1
2.79,2.33296,0,2.33296,3,-1
2.8,2.33963,0,2.33963,3,-1
2.81,2.34624,0,2.34624,3,-1
2.82,2.35277,0,2.35277,3,-1
2.83,2.35925,0,2.35925,3,-1
2.84,2.36565,0,2.36565,3,-1
2.85,2.362,0,2.362,2,-1
2.86,2.35838,0,2.35838,2,-1
2.87,2.35479,0,2.35479,2,-1
2.88,2.35124,0,2.35124,2,-1
2.89,2.34773,0,2.34773,2,-1
2.9,2.34425,0,2.34425,2,-1
2.91,2.34081,0,2.34081,2,-1
2.92,2.3374,0,2.3374,2,-1
2.93,2.33403,0,2.33403,2,-1
2.94,2.33069,0,2.33069,2,-1
2.95,2.32738,0,2.32738,2,-1
2.96,2.31411,0,2.31411,1,-1
2.97,2.30097,0,2.30097,1,-1
2.98,2.28796,0,2.28796,1,-1
2.99,2.27508,0,2.27508,1,-1
3,2.26233,0,2.26233,1,-1
3.01,2.2497,0,2.2497,1,-1
3.02,2.23721,0,2.23721,1,-1
3.03,2.22484,0,2.22484,1,-1
3.04,2.21259,0,2.21259,1,-1
3.05,2.20046,0,2.20046,1,-1
3.06,2.18846,0,2.18846,1,-1
3.07,2.16657,0,2.16657,0,-1
3.08,2.14491,0,2.14491,0,-1
3.09,2.12346,0,2.12346,0,-1
3.1,2.10222,0,2.10222,0,-1
3.11,2.0812,0,2.0812,0,-1
3.12,2.06039,0,2.06039,0,-1
3.13,2.03978,0,2.03978,0,-1
3.14,2.01939,0,2.01939,0,-1
3.15,1.99919,0,1.99919,0,-1
3.16,1.9792,0,1.9792,0,1
3.17,1.95941,0,1.95941,0,1
3.18,1.94981,0,1.94981,1,1
3.19,1.94032,0,1.94032,1,1
3.2,1.93091,0,1.93091,1,1
3.21,1.9216,0,1.9216,1,1
3.22,1.91239,0,1.91239,1,1
3.23,1.90326,0,1.90326,1,1
3.24,1.89423,0,1.89423,1,1
3.25,1.88529,0,1.88529,1,1
3.26,1.87644,0,1.87644,1,1
3.27,1.86767,0,1.86767,1,1
3.28,1.859,0,1.859,1,1
3.29,1.86041,0,1.86041,2,1
3.3,1.8618,0,1.8618,2,1
3.31,1.86318,0,1.86318,2,1
3.32,1.86455,0,1.86455,2,1
3.33,1.86591,0,1.86591,2,1
3.34,1.86725,0,1.86725,2,1
3.35,1.86857,0,1.86857,2,1
3.36,1.86989,0,1.86989,2,1
3.37,1.87119,0,1.87119,2,1
3.38,1.87248,0,1.87248,2,1
3.39,1.87375,0,1.87375,2,1
3.4,1.88502,0,1.88502,3,1
3.41,1.89617,0,1.89617,3,1
3.42,1.9072,0,1.9072,3,1
3.43,1.91813,0,1.91813,3,1
3.44,1.92895,0,1.92895,3,1
3.45,1.93966,0,1.93966,3,1
3.46,1.95026,0,1.95026,3,1
3.47,1.96076,0,1.96076,3,1
3.48,1.97115,0,1.97115,3,1
3.49,1.98144,0,1.98144,3,1
3.5,1.99163,0,1.99163,3,1
3.51,2.01171,0,2.01171,4,1
3.52,2.03159,0,2.03159,4,-1
3.53,2.05128,0,2.05128,4,-1
3.54,2.07077,0,2.07077,4,-1
3.55,2.09006,0,2.09006,4,-1
3.56,2.10916,0,2.10916,4,-1
3.57,2.12807,0,2.12807,4,-1
3.58,2.14679,0,2.14679,4,-1
3.59,2.16532,0,2.16532,4,-1
3.6,2.18366,0,2.18366,4,-1
3.61,2.20183,0,2.20183,4,-1
3.62,2.20981,0,2.20981,3,-1
3.63,2.21771,0,2.21771,3,-1
3.64,2.22553,0,2.22553,3,-1
3.65,2.23328,0,2.23328,3,-1
3.66,2.24095,0,2.24095,3,-1
3.67,2.24854,0,2.24854,3,-1
3.68,2.25605,0,2.25605,3,-1
3.69,2.26349,0,2.26349,3,-1
3.7,2.27086,0,2.27086,3,-1
3.71,2.27815,0,2.27815,3,-1
3.72,2.28537,0,2.28537,3,-1
3.73,2.28251,0,2.28251,2,-1
3.74,2.27969,0,2.27969,2,-1
3.75,2.27689,0,2.27689,2,-1
3.76,2.27412,0,2.27412,2,-1
3.77,2.27138,0,2.27138,2,-1
3.78,2.26867,0,2.26867,2,-1
3.79,2.26598,0,2.26598,2,-1
3.8,2.26332,0,2.26332,2,-1
3.81,2.26069,0,2.26069,2,-1
3.82,2.25808,0,2.25808,2,-1
3.83,2.2555,0,2.2555,2,-1
3.84,2.24294,0,2.24294,1,-1
3.85,2.23051,0,2.23051,1,-1
3.86,2.21821,0,2.21821,1,-1
