time,x,r,x_r,u_r,a_s
6.8,1.77367,0,1.77367,1,1
6.81,1.77593,0,1.77593,2,1
6.82,1.77817,0,1.77817,2,1
6.83,1.78039,0,1.78039,2,1
6.84,1.78258,0,1.78258,2,1
6.85,1.78476,0,1.78476,2,1
6.86,1.78691,0,1.78691,2,1
6.87,1.78904,0,1.78904,2,1
6.88,1.79115,0,1.79115,2,1
6.89,1.79324,0,1.79324,2,1
6.9,1.79531,0,1.79531,2,1
6.91,1.79735,0,1.79735,2,1
6.92,1.80938,0,1.80938,3,1
6.93,1.82129,0,1.82129,3,1
6.94,1.83307,0,1.83307,3,1
6.95,1.84474,0,1.84474,3,1
6.96,1.8563,0,1.8563,3,1
6.97,1.86773,0,1.86773,3,1
6.98,1.87906,0,1.87906,3,1
6.99,1.89027,0,1.89027,3,1
7,1.90136,0,1.90136,3,1
7.01,1.91235,0,1.91235,3,1
7.02,1.92323,0,1.92323,3,1
7.03,1.94399,0,1.94399,4,1
7.04,1.96455,0,1.96455,4,1
7.05,1.98491,0,1.98491,4,1
7.06,2.00506,0,2.00506,4,1
7.07,2.02501,0,2.02501,4,-1
7.08,2.04476,0,2.04476,4,-1
7.09,2.06431,0,2.06431,4,-1
7.1,2.08367,0,2.08367,4,-1
7.11,2.10283,0,2.10283,4,-1
7.12,2.1218,0,2.1218,4,-1
7.13,2.14058,0,2.14058,4,-1
7.14,2.14918,0,2.14918,3,-1
7.15,2.15769,0,2.15769,3,-1
7.16,2.16611,0,2.16611,3,-1
7.17,2.17445,0,2.17445,3,-1
7.18,2.1827,0,2.1827,3,-1
7.19,2.19088,0,2.19088,3,-1
7.2,2.19897,0,2.19897,3,-1
7.21,2.20698,0,2.20698,3,-1
7.22,2.21491,0,2.21491,3,-1
7.23,2.22276,0,2.22276,3,-1
7.24,2.23053,0,2.23053,3,-1
7.25,2.22823,0,2.22823,2,-1
7.26,2.22594,0,2.22594,2,-1
7.27,2.22369,0,2.22369,2,-1
7.28,2.22145,0,2.22145,2,-1
7.29,2.21923,0,2.21923,2,-1
7.3,2.21704,0,2.21704,2,-1
7.31,2.21487,0,2.21487,2,-1
7.32,2.21272,0,2.21272,2,-1
7.33,2.2106,0,2.2106,2,-1
7.34,2.20849,0,2.20849,2,-1
7.35,2.2064,0,2.2064,2,-1
7.36,2.19434,0,2.19434,1,-1
7.37,2.1824,0,2.1824,1,-1
7.38,2.17057,0,2.17057,1,-1
7.39,2.15887,0,2.15887,1,-1
7.4,2.14728,0,2.14728,1,-1
7.41,2.13581,0,2.13581,1,-1
7.42,2.12445,0,2.12445,1,-1
7.43,2.1132,0,2.1132,1,-1
7.44,2.10207,0,2.10207,1,-1
7.45,2.09105,0,2.09105,1,-1
7.46,2.08014,0,2.08014,1,-1
7.47,2.05934,0,2.05934,0,-1
7.48,2.03875,0,2.03875,0,-1
7.49,2.01836,0,2.01836,0,-1
7.5,1.99817,0,1.99817,0,-1
7.51,1.97819,0,1.97819,0,1
7.52,1.95841,0,1.95841,0,1
7.53,1.93883,0,1.93883,0,1
7.54,1.91944,0,1.91944,0,1
7.55,1.90024,0,1.90024,0,1
7.56,1.88124,0,1.88124,0,1
7.57,1.86243,0,1.86243,0,1
7.58,1.8538,0,1.8538,1,1
7.59,1.84527,0,1.84527,1,1
7.6,1.83681,0,1.83681,1,1
7.61,1.82845,0,1.82845,1,1
7.62,1.82016,0,1.82016,1,1
7.63,1.81196,0,1.81196,1,1
7.64,1.80384,0,1.80384,1,1
7.65,1.7958,0,1.7958,1,1
7.66,1.78784,0,1.78784,1,1
7.67,1.77997,0,1.77997,1,1
7.68,1.77217,0,1.77217,1,1
7.69,1.77444,0,1.77444,2,1
7.7,1.7767,0,1.7767,2,1
7.71,1.77893,0,1.77893,2,1
7.72,1.78114,0,1.78114,2,1
7.73,1.78333,0,1.78333,2,1
7.74,1.7855,0,1.7855,2,1
7.75,1.78764,0,1.78764,2,1
7.76,1.78977,0,1.78977,2,1
7.77,1.79187,0,1.79187,2,1
7.78,1.79395,0,1.79395,2,1
7.79,1.79601,0,1.79601,2,1
7.8,1.80805,0,1.80805,3,1
7.81,1.81997,0,1.81997,3,1
7.82,1.83177,0,1.83177,3,1
7.83,1.84345,0,1.84345,3,1
7.84,1.85502,0,1.85502,3,1
7.85,1.86647,0,1.86647,3,1
7.86,1.8778,0,1.8778,3,1
7.87,1.88903,0,1.88903,3,1
7.88,1.90014,0,1.90014,3,1
7.89,1.91113,0,1.91113,3,1
7.9,1.92202,0,1.92202,3,1
7.91,1.9428,0,1.9428,4,1
7.92,1.96337,0,1.96337,4,1
7.93,1.98374,0,1.98374,4,1
7.94,2.0039,0,2.0039,4,1
7.95,2.02386,0,2.02386,4,-1
7.96,2.04363,0,2.04363,4,-1
7.97,2.06319,0,2.06319,4,-1
7.98,2.08256,0,2.08256,4,-1
7.99,2.10173,0,2.10173,4,-1
8,2.12071,0,2.12071,4,-1
8.01,2.13951,0,2.13951,4,-1
8.02,2.14811,0,2.14811,3,-1
8.03,2.15663,0,2.15663,3,-1
8.04,2.16506,0,2.16506,3,-1
8.05,2.17341,0,2.17341,3,-1
8.06,2.18168,0,2.18168,3,-1
8.07,2.18986,0,2.18986,3,-1
8.08,2.19796,0,2.19796,3,-1
8.09,2.20599,0,2.20599,3,-1
8.1,2.21393,0,2.21393,3,-1
8.11,2.22179,0,2.22179,3,-1
8.12,2.22957,0,2.22957,3,-1
8.13,2.22727,0,2.22727,2,-1
8.14,2.225,0,2.225,2,-1
8.15,2.22275,0,2.22275,2,-1
8.16,2.22052,0,2.22052,2,-1
8.17,2.21832,0,2.21832,2,-1
8.18,2.21613,0,2.21613,2,-1
8.19,2.21397,0,2.21397,2,-1
8.2,2.21183,0,2.21183,2,-1
8.21,2.20971,0,2.20971,2,-1
8.22,2.20762,0,2.20762,2,-1
8.23,2.20554,0,2.20554,2,-1
8.24,2.19349,0,2.19349,1,-1
8.25,2.18155,0,2.18155,1,-1
8.26,2.16974,0,2.16974,1,-1
8.27,2.15804,0,2.15804,1,-1
8.28,2.14646,0,2.14646,1,-1
8.29,2.13499,0,2.13499,1,-1
8.3,2.12364,0,2.12364,1,-1
8.31,2.11241,0,2.11241,1,-1
8.32,2.10128,0,2.10128,1,-1
8.33,2.09027,0,2.09027,1,-1
8.34,2.07937,0,2.07937,1,-1
8.35,2.05857,0,2.05857,0,-1
8.36,2.03799,0,2.03799,0,-1
8.37,2.01761,0,2.01761,0,-1
8.38,1.99743,0,1.99743,0,-1
8.39,1.97746,0,1.97746,0,1
8.4,1.95768,0,1.95768,0,1
8.41,1.93811,0,1.93811,0,1
8.42,1.91872,0,1.91872,0,1
8.43,1.89954,0,1.89954,0,1
8.44,1.88054,0,1.88054,0,1
8.45,1.86174,0,1.86174,0,1
8.46,1.85312,0,1.85312,1,1
8.47,1.84459,0,1.84459,1,1
8.48,1.83614,0,1.83614,1,1
8.49,1.82778,0,1.82778,1,1
8.5,1.8195,0,1.8195,1,1
8.51,1.81131,0,1.81131,1,1
8.52,1.8032,0,1.8032,1,1
8.53,1.79516,0,1.79516,1,1
8.54,1.78721,0,1.78721,1,1
8.55,1.77934,0,1.77934,1,1
8.56,1.77155,0,1.77155,1,1
8.57,1.77383,0,1.77383,2,1
8.58,1.77609,0,1.77609,2,1
8.59,1.77833,0,1.77833,2,1
8.6,1.78055,0,1.78055,2,1
8.61,1.78274,0,1.78274,2,1
8.62,1.78492,0,1.78492,2,1
8.63,1.78707,0,1.78707,2,1
8.64,1.7892,0,1.7892,2,1
8.65,1.7913,0,1.7913,2,1
8.66,1.79339,0,1.79339,2,1
8.67,1.79546,0,1.79546,2,1
8.68,1.8075,0,1.8075,3,1
8.69,1.81943,0,1.81943,3,1
8.7,1.83123,0,1.83123,3,1
8.71,1.84292,0,1.84292,3,1
8.72,1.85449,0,1.85449,3,1
8.73,1.86595,0,1.86595,3,1
8.74,1.87729,0,1.87729,3,1
8.75,1.88851,0,1.88851,3,1
8.76,1.89963,0,1.89963,3,1
8.77,1.91063,0,1.91063,3,1
8.78,1.92153,0,1.92153,3,1
8.79,1.94231,0,1.94231,4,1
8.8,1.96289,0,1.96289,4,1
8.81,1.98326,0,1.98326,4,1
8.82,2.00343,0,2.00343,4,1
8.83,2.02339,0,2.02339,4,-1
8.84,2.04316,0,2.04316,4,-1
8.85,2.06273,0,2.06273,4,-1
8.86,2.0821,0,2.0821,4,-1
8.87,2.10128,0,2.10128,4,-1
8.88,2.12027,0,2.12027,4,-1
8.89,2.13906,0,2.13906,4,-1
8.9,2.14767,0,2.14767,3,-1
8.91,2.1562,0,2.1562,3,-1
8.92,2.16463,0,2.16463,3,-1
8.93,2.17299,0,2.17299,3,-1
8.94,2.18126,0,2.18126,3,-1
8.95,2.18944,0,2.18944,3,-1
8.96,2.19755,0,2.19755,3,-1
8.97,2.20557,0,2.20557,3,-1
8.98,2.21352,0,2.21352,3,-1
8.99,2.22138,0,2.22138,3,-1
9,2.22917,0,2.22917,3,-1
9.01,2.22688,0,2.22688,2,-1
9.02,2.22461,0,2.22461,2,-1
9.03,2.22236,0,2.22236,2,-1
9.04,2.22014,0,2.22014,2,-1
9.05,2.21794,0,2.21794,2,-1
9.06,2.21576,0,2.21576,2,-1
9.07,2.2136,0,2.2136,2,-1
9.08,2.21147,0,2.21147,2,-1
9.09,2.20935,0,2.20935,2,-1
9.1,2.20726,0,2.20726,2,-1
9.11,2.20518,0,2.20518,2,-1
9.12,2.19313,0,2.19313,1,-1
9.13,2.1812,0,2.1812,1,-1
9.14,2.16939,0,2.16939,1,-1
9.15,2.1577,0,2.1577,1,-1
9.16,2.14612,0,2.14612,1,-1
9.17,2.13466,0,2.13466,1,-1
9.18,2.12331,0,2.12331,1,-1
9.19,2.11208,0,2.11208,1,-1
9.2,2.10096,0,2.10096,1,-1
9.21,2.08995,0,2.08995,1,-1
9.22,2.07905,0,2.07905,1,-1
9.23,2.05826,0,2.05826,0,-1
9.24,2.03767,0,2.03767,0,-1
9.25,2.0173,0,2.0173,0,-1
9.26,1.99713,0,1.99713,0,-1
9.27,1.97715,0,1.97715,0,1
9.28,1.95738,0,1.95738,0,1
9.29,1.93781,0,1.93781,0,1
9.3,1.91843,0,1.91843,0,1
9.31,1.89925,0,1.89925,0,1
9.32,1.88025,0,1.88025,0,1
9.33,1.86145,0,1.86145,0,1
9.34,1.85284,0,1.85284,1,1
9.35,1.84431,0,1.84431,1,1
9.36,1.83587,0,1.83587,1,1
9.37,1.82751,0,1.82751,1,1
9.38,1.81923,0,1.81923,1,1
9.39,1.81104,0,1.81104,1,1
9.4,1.80293,0,1.80293,1,1
9.41,1.7949,0,1.7949,1,1
9.42,1.78695,0,1.78695,1,1
9.43,1.77908,0,1.77908,1,1
9.44,1.77129,0,1.77129,1,1
9.45,1.77358,0,1.77358,2,1
9.46,1.77584,0,1.77584,2,1
9.47,1.77808,0,1.77808,2,1
9.48,1.7803,0,1.7803,2,1
9.49,1.7825,0,1.7825,2,1
9.5,1.78467,0,1.78467,2,1
9.51,1.78683,0,1.78683,2,1
9.52,1.78896,0,1.78896,2,1
9.53,1.79107,0,1.79107,2,1
9.54,1.79316,0,1.79316,2,1
9.55,1.79523,0,1.79523,2,1
9.56,1.80728,0,1.80728,3,1
9.57,1.8192,0,1.8192,3,1
9.58,1.83101,0,1.83101,3,1
9.59,1.8427,0,1.8427,3,1
9.6,1.85427,0,1.85427,3,1
9.61,1.86573,0,1.86573,3,1
9.62,1.87707,0,1.87707,3,1
9.63,1.8883,0,1.8883,3,1
9.64,1.89942,0,1.89942,3,1
9.65,1.91043,0,1.91043,3,1
9.66,1.92132,0,1.92132,3,1
9.67,1.94211,0,1.94211,4,1
9.68,1.96269,0,1.96269,4,1
9.69,1.98306,0,1.98306,4,1
9.7,2.00323,0,2.00323,4,1
9.71,2.0232,0,2.0232,4,-1
9.72,2.04296,0,2.04296,4,-1
9.73,2.06254,0,2.06254,4,-1
9.74,2.08191,0,2.08191,4,-1
9.75,2.10109,0,2.10109,4,-1
9.76,2.12008,0,2.12008,4,-1
9.77,2.13888,0,2.13888,4,-1
9.78,2.14749,0,2.14749,3,-1
9.79,2.15602,0,2.15602,3,-1
9.8,2.16446,0,2.16446,3,-1
9.81,2.17281,0,2.17281,3,-1
9.82,2.18108,0,2.18108,3,-1
9.83,2.18927,0,2.18927,3,-1
9.84,2.19738,0,2.19738,3,-1
9.85,2.20541,0,2.20541,3,-1
9.86,2.21335,0,2.21335,3,-1
9.87,2.22122,0,2.22122,3,-1
9.88,2.22901,0,2.22901,3,-1
9.89,2.22672,0,2.22672,2,-1
9.9,2.22445,0,2.22445,2,-1
9.91,2.2222,0,2.2222,2,-1
9.92,2.21998,0,2.21998,2,-1
9.93,2.21778,0,2.21778,2,-1
9.94,2.2156,0,2.2156,2,-1
9.95,2.21345,0,2.21345,2,-1
9.96,2.21131,0,2.21131,2,-1
9.97,2.2092,0,2.2092,2,-1
9.98,2.20711,0,2.20711,2,-1
9.99,2.20504,0,2.20504,2,-1
10,2.19299,0,2.19299,1,-1
